Sample_ID,Species,Location,Catch_Method_Notes,Tissue,Year,Date_Collected,Date_Dissected,Date_Analyzed,Fork_Length ,Unit_FLength,Weight,Unit_weight,ë13C,ë15N,ë34S,X.C,X.N,C.N_ratio,X.S ,d13C_Lipid_Corr,Notes
20MELC-SIM-05,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,3.4,Centimeters,1.03,Grams,-25.34,9.48,13.35,49.77,11.83,4.21,0.63,-23.3,Seine Net
20MELC-SIM-06,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,4.5,Centimeters,1.98,Grams,-24.17,9.83,12.01,49.5,15.48,3.2,0.92,-23.7,Seine Net
20MELC-SIM-07,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,3.6,Centimeters,0.96,Grams,-24.12,8.17,11.49,50.73,13.23,3.83,0.71,-22.6,Seine Net
20MELC-SIM-08,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,4.1,Centimeters,1.37,Grams,-22.87,9.39,12.43,47.28,11.95,3.96,0.69,-21.1,Seine Net
20MELC-SIM-11,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,4.3,Centimeters,1.64,Grams,-24.57,9.04,12.41,47.65,13.96,3.41,0.83,-23.7,Seine Net
20MELC-SIM-12,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,3.5,Centimeters,1.34,Grams,-22.89,8.72,11.45,48.23,12.7,3.8,0.71,-21.4,Seine Net
20MELC-SIM-13,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,4.5,Centimeters,1.7,Grams,-22.48,8.28,11.11,49.68,13.78,3.6,0.79,-21.3,Seine Net
20MELC-SIM-14,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,4.5,Centimeters,1.89,Grams,-24.31,8.14,10.65,49.49,13.1,3.78,0.75,-22.8,Seine Net
20MELC-SIM-15,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,4.3,Centimeters,1.88,Grams,-23.86,10.31,13.43,49.61,13.1,3.79,0.78,-22.4,Seine Net
20MELC-SIM-16,Lake Chub,Cassilis,Fyke Net,Muscle,2019,10-06-2019,Unknown,Unknown,4.5,Centimeters,1.8,Grams,-25.24,11.08,13.07,50.99,12.67,4.02,0.71,-23.4,Seine Net
20MELC-SIM-18,Lake Chub,Cassilis,Fyke Net,Muscle,2019,16-05-2019,Unknown,Unknown,4.5,Centimeters,1.69,Grams,-31.15,10.02,15.47,49.26,13.27,3.71,0.72,-29.8,Seine Net
20MELC-SIM-19,Lake Chub,Cassilis,Fyke Net,Muscle,2019,16-05-2019,Unknown,Unknown,4.3,Centimeters,1.55,Grams,-30.27,8.94,13.65,47.26,12.43,3.8,0.7,-28.8,Seine Net
20MELC-SIM-20,Lake Chub,Cassilis,Fyke Net,Muscle,2019,16-05-2019,Unknown,Unknown,4.5,Centimeters,1.64,Grams,-25.95,10.01,12.73,45.31,12.67,3.58,0.74,-24.8,Seine Net
20MEMum-SIM-01,Mummichog,Opposite Hatchet,Seine Net,Muscle,2019,16-05-2019,Unknown,Unknown,6.3,Centimeters,3.05,Grams,-19.84,10.61,14.3,47.65,15.42,3.09,1.34,-19.6,Seine Net
20MEMum-SIM-02,Mummichog,Opposite Hatchet,Seine Net,Muscle,2019,16-05-2019,Unknown,Unknown,4.4,Centimeters,1.15,Grams,-20.02,10.27,12.69,43.29,15.21,2.85,1.52,-20.4,Seine Net
20MEMum-SIM-03,Mummichog,Opposite Hatchet,Seine Net,Muscle,2019,31-05-2019,Unknown,Unknown,4.9,Centimeters,1.36,Grams,-20.86,10.75,12.11,49.28,15.14,3.25,1.4,-20.3,Seine Net
20MEMum-SIM-04,Mummichog,Opposite Hatchet,Seine Net,Muscle,2019,31-05-2019,Unknown,Unknown,3.3,Centimeters,0.55,Grams,-19.64,10.8,14.78,47.16,15.75,2.99,1.7,-19.7,Seine Net
20MEMum-SIM-05,Mummichog,Opposite Hatchet,Seine Net,Muscle,2019,31-05-2019,Unknown,Unknown,3,Centimeters,0.5,Grams,-21.9,11.36,13.26,46.14,14.21,3.25,1.58,-21.4,Seine Net
20MESm-SIM-01,Rainbow Smelt,Bass Trap,Net Type Unknown,Muscle,2019,31-05-2019,Unknown,Unknown,16.5,Centimeters,23,Grams,-19.99,13.73,19.37,49.19,14.49,3.39,0.99,-19.2,Upriver (Cindy)
20MESm-SIM-02,Rainbow Smelt,Bass Trap,Net Type Unknown,Muscle,2019,31-05-2019,Unknown,Unknown,14,Centimeters,15.5,Grams,-20.4,13.62,19.69,47.5,14.42,3.29,0.9,-19.8,Upriver (Cindy)
20MESm-SIM-03,Rainbow Smelt,Cassilis,Net Type Unknown,Muscle,2019,31-05-2019,Unknown,Unknown,17.1,Centimeters,29.1,Grams,-20.83,14.56,19.31,51.25,12.6,4.07,0.78,-18.9,Upriver
20MESm-SIM-04,Rainbow Smelt,Cassilis,Net Type Unknown,Muscle,2019,31-05-2019,Unknown,Unknown,14.5,Centimeters,15.2,Grams,-20.22,13.71,19.85,45.73,13.72,3.33,0.9,-19.5,Upriver
20MESm-SIM-05,Rainbow Smelt,Cassilis,Net Type Unknown,Muscle,2019,31-05-2019,Unknown,Unknown,17.4,Centimeters,29,Grams,-19.53,14.34,18.75,49.3,14,3.52,0.86,-18.5,Upriver
20MEWS-SIM-01,White Sucker,Bass Trap,Fyke Net,Muscle,2019,31-05-2019,Unknown,,9,Centimeters,6.3,Grams,-21.74,11.05,13.7,46.44,14.05,3.31,1.05,-21.1,Fyke Net
20MEWS-SIM-02,White Sucker,Bass Trap,Net Type Unknown,Muscle,2019,31-05-2019,Unknown,Unknown,15.5,Centimeters,35.5,Grams,-22.9,11,16.34,47.95,15.07,3.18,0.84,-22.5,Upriver (Cindy)
20MEWS-SIM-03,White Sucker,Bass Trap,Net Type Unknown,Muscle,2019,31-05-2019,Unknown,Unknown,17.8,Centimeters,56.8,Grams,-28.77,8.44,11.24,46.84,14.34,3.27,0.76,-28.2,Upriver (Cindy)
20MEWS-SIM-04,White Sucker,Bass Trap,Net Type Unknown,Muscle,2019,25-05-2019,Unknown,Unknown,19.6,Centimeters,78.8,Grams,-23.16,11.06,13.97,45.24,13.67,3.31,0.79,-22.5,Upriver (Cindy)
20MEWS-SIM-06,White Sucker,Upper Cassilis,Net Type Unknown,Muscle,2019,25-05-2019,Unknown,Unknown,11.5,Centimeters,14.1,Grams,-28.99,8.52,10.94,46.64,14.02,3.33,0.81,-28.3,Upriver
20MEWS-SIM-07,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,25-05-2019,Unknown,Unknown,14.6,Centimeters,29.5,Grams,-24.19,7.04,7.32,43.78,13.45,3.25,0.7,-23.6,Seine Net
20MEWS-SIM-08,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,25-05-2019,Unknown,Unknown,19.2,Centimeters,79.6,Grams,-29.97,8.33,8.14,44.35,13.55,3.27,0.75,-29.4,Seine Net
20MEWS-SIM-09,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,25-05-2019,Unknown,Unknown,18.5,Centimeters,71,Grams,-21.92,11.03,16.39,47.08,14.39,3.27,0.79,-21.3,Seine Net
20MEWS-SIM-10,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,25-05-2019,Unknown,Unknown,15.1,Centimeters,35.9,Grams,-22.31,10.19,14.85,46.26,14.74,3.14,0.83,-22,Seine Net
20MEWS-SIM-11,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,25-05-2019,Unknown,Unknown,16,Centimeters,41.5,Grams,-22.42,10.17,16.29,44.16,13.8,3.2,0.72,-22,Seine Net
20MEWS-SIM-12,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,25-05-2019,Unknown,Unknown,26.1,Centimeters,199.1,Grams,-23.06,11.15,14.64,47.05,14.23,3.31,0.86,-22.4,Seine Net
20MEWS-SIM-13,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,25-05-2019,Unknown,Unknown,19.4,Centimeters,74.3,Grams,-22.39,11.13,15.94,43.56,13.97,3.12,0.77,-22.1,Seine Net
20MEWS-SIM-14,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,25-05-2019,Unknown,Unknown,16.2,Centimeters,39.2,Grams,-30.77,6.7,6.43,44.1,13.45,3.28,0.75,-30.2,Seine Net
20MEWS-SIM-15,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,01-06-2021,Unknown,Unknown,18.6,Centimeters,70.3,Grams,-26.14,9.58,14.55,47.33,15.35,3.08,0.84,-26,Seine Net
20MEWS-SIM-16,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,01-06-2021,Unknown,Unknown,16.4,Centimeters,50.4,Grams,-25.37,9.13,13.41,46.37,15.49,2.99,0.87,-25.4,Seine Net
20MEWS-SIM-17,White Sucker,Hatchet Beach,Fyke Net,Muscle,2019,01-06-2021,Unknown,Unknown,19.1,Centimeters,70.7,Grams,-29.79,8.37,0.43,47.37,15.79,3,0.99,-29.8,Seine Net
2021-SIM-001,White Sucker,Bass Trap,Fyke Net,Muscle,2021,28-05-2021,29-06-2021,Unknown,11.6,Centimeters,23.729,Grams,-24.35,9.67,10.1,47.71,14.69,3.25,1.12,-23.8,Fyke Net
2021-SIM-002,White Sucker,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,29-06-2021,Unknown,10.5,Centimeters,13.615,Grams,-24.15,10.63,15.1,40.31,12.58,3.21,0.92,-23.7,Fyke Net
2021-SIM-003,White Sucker,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,29-06-2021,Unknown,15,Centimeters,41.352,Grams,-21.6,11.55,14.1,49.79,15.16,3.28,1.1,-21,Fyke Net
2021-SIM-004,White Sucker,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,29-06-2021,Unknown,25.8,Centimeters,245.2,Grams,-21.92,12.48,14.2,43.38,13.73,3.16,0.99,-21.6,Fyke Net
2021-SIM-005,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,29-06-2021,Unknown,12.4,Centimeters,11.183,Grams,-20.87,13.65,18.5,47.76,14.92,3.2,1.24,-20.4,Fyke Net
2021-SIM-006,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,03-06-2021,29-06-2021,Unknown,13.5,Centimeters,16.276,Grams,-20.58,13.34,18.6,47.99,15.32,3.13,1.28,-20.3,Fyke Net
2021-SIM-007,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,03-06-2021,29-06-2021,Unknown,12.4,Centimeters,13.301,Grams,-20.31,13.86,18.9,47.96,14.66,3.27,1.24,-19.7,Fyke Net
2021-SIM-008,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,31-05-2021,29-06-2021,Unknown,12.2,Centimeters,12.452,Grams,-19.47,12.9,18.2,47.27,14.97,3.16,1.31,-19.1,Fyke Net
2021-SIM-009,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2021,26-05-2021,29-06-2021,Unknown,8.3,Centimeters,6.377,Grams,-21.1,12.63,14.85,45.82,9.55,4.8,0.66,-18.4,Fyke Net
2021-SIM-010,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2021,26-05-2021,29-06-2021,Unknown,8.2,Centimeters,6.016,Grams,-22.1,12.59,14.4,47.44,14.74,3.22,1.59,-21.6,Fyke Net
2021-SIM-011,Fall Fish,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,30-06-2021,Unknown,13,Centimeters,29.928,Grams,-26.95,9.83,7.86,47.08,12.96,3.63,0.68,-25.7,Fyke Net
2021-SIM-012,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,30-06-2021,Unknown,13.8,Centimeters,19.766,Grams,-20.38,12.78,19.7,47.75,14.74,3.24,1.28,-19.9,Fyke Net
2021-SIM-013,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,30-06-2021,Unknown,12.5,Centimeters,13.432,Grams,-20.28,13.73,19.5,43.32,13.61,3.18,1.1,-19.9,Fyke Net
2021-SIM-014,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,30-06-2021,Unknown,12.6,Centimeters,15.428,Grams,-20.93,13.52,19.68,47.77,15.39,3.1,1.05,-20.7,Fyke Net
2021-SIM-015,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,30-06-2021,Unknown,12.9,Centimeters,14.309,Grams,-20.69,13.31,20.1,48.33,15.36,3.15,1.3,-20.4,Fyke Net
2021-SIM-016,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,26-05-2021,30-06-2021,Unknown,12.6,Centimeters,13.457,Grams,-20.45,13.63,19.6,44.92,13.73,3.27,1.02,-19.9,Fyke Net
2021-SIM-019,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,30-06-2021,Unknown,13,Centimeters,15.481,Grams,-20.95,14.04,18.7,46.83,15.12,3.1,1.26,-20.7,Fyke Net
2021-SIM-020,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,30-06-2021,Unknown,13.4,Centimeters,16.034,Grams,-20.43,13.78,20.2,47.72,15,3.18,1.58,-20,Fyke Net
2021-SIM-021,Smolt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,05-07-2021,Unknown,12.2,Centimeters,13.374,Grams,-20.51,13.94,19.4,48.09,15.21,3.16,1.42,-20.2,Fyke Net
2021-SIM-022,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,05-07-2021,Unknown,12.4,Centimeters,20.393,Grams,-23.31,7.3,9.7,45.54,15.09,3.02,1.22,-23.3,Fyke Net
2021-SIM-023,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,05-07-2021,Unknown,12.7,Centimeters,18.052,Grams,-25.16,7.41,10.8,46.64,15.43,3.02,1.29,-25.1,Fyke Net
2021-SIM-024,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,05-07-2021,Unknown,13.1,Centimeters,19.565,Grams,-27.54,9.28,7.97,46.54,16.27,2.86,0.91,-27.9,Fyke Net
2021-SIM-025,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,05-07-2021,Unknown,13.1,Centimeters,22.875,Grams,-22.78,7.96,7.32,47.14,16.2,2.91,0.91,-23,Fyke Net
2021-SIM-026,Smolt,Cassilis,Fyke Net,Muscle,2021,01-06-2021,05-07-2021,Unknown,12.4,Centimeters,16.487,Grams,-25.5,7.41,9.12,43.33,14.93,2.9,0.86,-25.8,Fyke Net
2021-SIM-027,Smolt,Cassilis,Fyke Net,Muscle,2021,04-06-2021,05-07-2021,Unknown,15.5,Centimeters,41.561,Grams,-29.71,6.91,9.37,46.68,13.83,3.37,0.71,-28.9,Fyke Net
2021-SIM-028,Smolt,Cassilis,Fyke Net,Muscle,2021,02-06-2021,05-07-2021,Unknown,13.3,Centimeters,22.413,Grams,-27.39,8.06,11.32,45.07,12.78,3.53,0.68,-26.3,Fyke Net
2021-SIM-029,Common Shiner,Cassilis,Fyke Net,Muscle,2021,31-05-2021,05-07-2021,Unknown,9.5,Centimeters,12.454,Grams,-23.7,11.09,13.19,46.9,10.03,4.67,0.49,-21.1,Fyke Net
2021-SIM-030,Smolt,Cassilis,Fyke Net,Muscle,2021,19-05-2021,06-07-2021,Unknown,13.3,Centimeters,30.748,Grams,-24.8,7.17,10.07,44.73,15.85,2.82,0.87,-25.3,Fyke Net
2021-SIM-031,Smolt,Bass Trap,Fyke Net,Muscle,2021,30-05-2021,06-07-2021,Unknown,13.4,Centimeters,25.717,Grams,-26.35,7.04,9.45,44.49,14.1,3.15,0.7,-26,Fyke Net
2021-SIM-032,White Sucker,Cassilis,Fyke Net,Muscle,2021,03-06-2021,06-07-2021,Unknown,10.6,Centimeters,15.777,Grams,-19.46,8.07,11.77,45.06,13.77,3.27,0.76,-18.9,Fyke Net
2021-SIM-033,Smolt,Cassilis,Fyke Net,Muscle,2021,26-05-2021,06-07-2021,Unknown,13.8,Centimeters,27.644,Grams,-24.33,7.01,8.75,43.86,13.87,3.16,0.78,-24,Fyke Net
2021-SIM-034,Smolt,Cassilis,Fyke Net,Muscle,2021,26-05-2021,06-07-2021,Unknown,13.1,Centimeters,26.874,Grams,-23.68,7.34,9.12,44.31,14.09,3.15,0.73,-23.3,Fyke Net
2021-SIM-035,Alewife,Bass Trap,Net Type Unknown,Muscle,2021,28-05-2021,06-07-2021,Unknown,24,Centimeters,165.9,Grams,-19.71,12.59,20.41,44.5,9.99,4.45,0.54,-17.4,Net Type Unknown
2021-SIM-037,Smolt,Bass Trap,Fyke Net,Muscle,2021,20-05-2021,06-07-2021,Unknown,13.5,Centimeters,25.289,Grams,-24.39,7.44,9.77,40.7,12.62,3.22,0.66,-23.9,Fyke Net
2021-SIM-038,Smolt,Bass Trap,Fyke Net,Muscle,2021,20-05-2021,06-07-2021,Unknown,11.5,Centimeters,15.052,Grams,-25.51,7.89,10.2,43.88,14.12,3.11,0.79,-25.3,Fyke Net
2021-SIM-039,Smolt,Cassilis,Fyke Net,Muscle,2021,20-05-2021,06-07-2021,Unknown,12.5,Centimeters,22.019,Grams,-26.18,7.03,11.33,44.41,14.17,3.13,0.76,-25.9,Fyke Net
2021-SIM-040,Smolt,Cassilis,Fyke Net,Muscle,2021,20-05-2021,06-07-2021,Unknown,13.8,Centimeters,25.536,Grams,-27.8,8.49,9.16,43.57,14.09,3.09,0.78,-27.6,Fyke Net
2021-SIM-041,Smolt,Cassilis,Fyke Net,Muscle,2021,20-05-2021,06-07-2021,Unknown,14.4,Centimeters,30.464,Grams,-25.29,7.79,7.49,44.74,13.81,3.24,0.76,-24.8,Fyke Net
2021-SIM-042,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,06-07-2021,Unknown,15.7,Centimeters,42.275,Grams,-26.6,7.28,8.24,45.02,14.26,3.16,0.77,-26.2,Fyke Net
2021-SIM-043,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,06-07-2021,Unknown,11.8,Centimeters,16.112,Grams,-27.84,9.92,9.05,45.41,13.61,3.34,0.83,-27.1,Fyke Net
2021-SIM-044,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,13.1,Centimeters,21.919,Grams,-26.48,8.3,9.46,44,14.11,3.12,0.81,-26.2,Fyke Net
2021-SIM-045,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,12.6,Centimeters,19.643,Grams,-24.88,9.08,10.63,43.43,13.71,3.17,0.78,-24.5,Fyke Net
2021-SIM-046,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,13,Centimeters,22.213,Grams,-25.84,9.4,12.5,45.1,14.44,3.12,0.78,-25.6,Fyke Net
2021-SIM-047,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,14.9,Centimeters,29.518,Grams,-22.31,9.93,10.77,43.89,14.21,3.09,0.78,-22.1,Fyke Net
2021-SIM-048,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,13.5,Centimeters,24.536,Grams,-25.3,8.83,6.7,44.52,14.99,2.97,0.86,-25.4,Fyke Net
2021-SIM-049,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,14,Centimeters,28.463,Grams,-24.48,7.61,10.26,43.44,13.94,3.12,0.79,-24.2,Fyke Net
2021-SIM-050,Smolt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,15.3,Centimeters,39.103,Grams,-23.12,8.29,10.19,40.6,12.97,3.13,0.73,-22.8,Fyke Net
2021-SIM-051,Smolt,Cassilis,Fyke Net,Muscle,2021,30-05-2021,07-07-2021,Unknown,11.5,Centimeters,17.106,Grams,-24.51,7.61,8.56,43.86,13.88,3.16,0.75,-24.2,Fyke Net
2021-SIM-052,American Eel,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,30.9,Centimeters,40.7,Grams,-18.65,12.71,16.88,47.52,10.12,4.7,0.45,-16.1,Fyke Net
2021-SIM-054,Rainbow Smelt,Cassilis,Fyke Net,Muscle,2021,21-05-2021,07-07-2021,Unknown,13.4,Centimeters,12.903,Grams,-19.98,13.49,19.26,49.76,15.71,3.17,0.96,-19.6,Fyke Net
2021-SIM-055,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,08-07-2021,Unknown,13.5,Centimeters,15.797,Grams,-20.57,14.32,18.81,48.25,14.85,3.25,0.91,-20,Fyke Net
2021-SIM-071,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,08-07-2021,Unknown,12.5,Centimeters,14.15,Grams,-20.32,13.62,19.6,51.79,15.92,3.25,1.35,-19.8,Fyke Net
2021-SIM-072,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,08-07-2021,Unknown,12.8,Centimeters,14.976,Grams,-20.38,13.49,20.2,51.67,15.95,3.24,1.41,-19.9,Fyke Net
2021-SIM-073,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,13.3,Centimeters,14.887,Grams,-20,13.29,19,51.67,15.89,3.25,1.37,-19.5,Fyke Net
2021-SIM-074,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,12.4,Centimeters,11.955,Grams,-20.28,12.8,20.2,49.98,15.84,3.15,1.33,-19.9,Fyke Net
2021-SIM-075,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,15,Centimeters,20.912,Grams,-19.31,13.46,18.5,50.99,16.18,3.15,1.21,-19,Fyke Net
2021-SIM-076,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,14.9,Centimeters,26.525,Grams,-19.9,13.75,19.3,51.99,15.89,3.27,1.33,-19.3,Fyke Net
2021-SIM-077,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,12.4,Centimeters,14.111,Grams,-20.53,14.05,19,52.39,15.49,3.38,1.31,-19.7,Fyke Net
2021-SIM-078,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,13.8,Centimeters,14.69,Grams,-20.42,13.65,19.5,52.44,15.52,3.38,1.27,-19.6,Fyke Net
2021-SIM-079,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,17.3,Centimeters,32.89,Grams,-19.53,13.74,20.01,53.38,16.87,3.17,0.87,-19.2,Fyke Net
2021-SIM-080,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,13.2,Centimeters,12.886,Grams,-19.88,13.49,18.4,51.48,15.85,3.25,1.26,-19.3,Fyke Net
2021-SIM-081,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,01-06-2021,09-07-2021,Unknown,12.7,Centimeters,14.056,Grams,-20.21,13.57,18.4,52.49,16.03,3.27,1.16,-19.6,Fyke Net
2021-SIM-082,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,31-05-2021,09-07-2021,Unknown,13.5,Centimeters,15.588,Grams,-20.06,12.74,20.1,52.23,16.22,3.22,1.25,-19.6,Fyke Net
2021-SIM-083,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2021,31-05-2021,09-07-2021,Unknown,13.2,Centimeters,13.677,Grams,-19.86,13.14,20.1,44.9,13.43,3.34,0.99,-19.1,Fyke Net
2021-SIM-084,American Eel,Bass Trap,Fyke Net,Muscle,2021,21-05-2021,09-07-2021,Unknown,27.6,Centimeters,30.7,Grams,-21.63,12.49,11.5,52.31,15.76,3.32,1.06,-20.9,Fyke Net
2021-SIM-086,American Eel,Cassilis,Fyke Net,Muscle,2021,19-05-2021,09-07-2021,Unknown,34.5,Centimeters,67.3,Grams,-22.27,12.44,13.9,54.35,15.32,3.55,0.97,-21.2,Fyke Net
2021-SIM-087,American Eel,Bass Trap,Fyke Net,Muscle,2021,27-05-2021,09-07-2021,Unknown,32.6,Centimeters,56.7,Grams,-22.34,11.15,12.9,39.87,8.94,4.46,0.37,-20,Fyke Net
2021-SIM-088,Striped Bass,Cassilis,Net Type Unknown,Muscle,2021,28-05-2021,09-07-2021,Unknown,40.5,Centimeters,860.5,Grams,-16.79,14.08,15.1,51.44,15.89,3.24,1.31,-16.3,Fyke Net
2021-SIM-089,Brook Trout,Cassilis,Fyke Net,Muscle,2021,19-05-2021,12-07-2021,Unknown,18.5,Centimeters,71.7,Grams,-23.35,9.58,10.78,52.07,16.92,3.08,0.9,-23.2,Fyke Net
2021-SIM-090,Rainbow Smelt,Cassilis,Fyke Net,Muscle,2021,27-05-2021,12-07-2021,Unknown,21.6,Centimeters,79.901,Grams,-18.99,14.13,18.8,53.52,18.9,2.83,1.08,-19.4,Fyke Net
2021-SIM-091,American Eel,Cassilis,Fyke Net,Muscle,2021,28-05-2021,12-07-2021,Unknown,62,Centimeters,602.9,Grams,-23.32,12.86,14.75,57.72,14.2,4.06,0.65,-21.5,Fyke Net
2021-SIM-092,White Sucker,Cassilis,Fyke Net,Muscle,2021,20-05-2021,12-07-2021,Unknown,16.1,Centimeters,51.961,Grams,-24.49,10.5,13.8,52.97,15.72,3.37,1.12,-23.7,Fyke Net
2021-SIM-093,White Sucker,Cassilis,Fyke Net,Muscle,2021,20-05-2021,12-07-2021,Unknown,13.5,Centimeters,28.05,Grams,-30.61,7.82,7.12,53.52,16.87,3.17,0.93,-30.2,Fyke Net
2021-SIM-098,American Eel,Cassilis,Fyke Net,Muscle,2021,21-05-2021,12-07-2021,Unknown,66,Centimeters,573.3,Grams,-23.77,12.07,16.01,62.52,13.01,4.81,0.59,-21.1,Fyke Net
2021-SIM-099,Striped Bass,Cassilis,Net Type Unknown,Muscle,2021,28-05-2021,12-07-2021,Unknown,44.1,Centimeters,1117.3,Grams,-17.33,13.84,14,55.22,17.22,3.21,1.09,-16.9,Net Type Unknown
2021-SIM-100,Striped Bass,Cassilis,Net Type Unknown,Muscle,2021,28-05-2021,13-07-2021,Unknown,33.8,Centimeters,953.3,Grams,-16.26,13.68,15.29,55.07,16.93,3.25,0.93,-15.7,Net Type Unknown
2021-SIM-101,American Eel,Cassilis,Fyke Net,Muscle,2021,30-05-2021,13-07-2021,Unknown,60.1,Centimeters,446.8,Grams,-22.34,14.05,18.45,64.95,10.89,5.96,0.43,-18.8,Fyke Net
2021-SIM-102,American Eel,Cassilis,Fyke Net,Muscle,2021,30-05-2021,13-07-2021,Unknown,66.2,Centimeters,568,Grams,-23.59,10.81,14.4,62.8,13.78,4.56,0.71,-21.1,Fyke Net
2021-SIM-103,American Eel,Cassilis,Fyke Net,Muscle,2021,31-05-2021,13-07-2021,Unknown,176.8,Centimeters,616.5,Grams,-20.93,14.2,17.2,65.67,12.3,5.34,0.64,-17.8,Fyke Net
2021-SIM-104,American Eel,Cassilis,Fyke Net,Muscle,2021,31-05-2021,13-07-2021,Unknown,73,Centimeters,1031,Grams,-20.93,14.29,19.8,57.03,11.9,4.79,0.68,-18.3,Fyke Net
2021-SIM-105,American Eel,Cassilis,Fyke Net,Muscle,2021,29-05-2021,13-07-2021,Unknown,75,Centimeters,912.9,Grams,-23.06,12.64,14.5,59.49,15.91,3.74,0.96,-21.6,Fyke Net
