year / année,site / site,station / station,latitude / latitude,longitude / longitude,number of samples / nombre d'échantillons,mean water temperature / température moyenne de l'eau,mean salinity / salinité moyenne,mean dissolved oxygen / oxygène dissous moyen,total species observed / total des espèces observées,total yoy measured / total des jeunes mesurés,total adults measured / total des adultes mesurés,SAV was reported / VAS a été rapporté
2018,Tracadie (NB),Chalets des 2 Rivieres,47.51692,-64.899713,1,16.4,18.81,8.5,10,0,412,True
2009,Bathurst Harbour (NB),Charlie's,47.65668,-65.6468,5,18.56,19.56,9.314,34,237,2040,True
2010,Bathurst Harbour (NB),Charlie's,47.65668,-65.6468,2,23.85,25.95,9.54,14,248,519,True
2011,Bathurst Harbour (NB),Charlie's,47.65668,-65.6468,3,19.567,15.2,8.4,25,42,1206,True
2009,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,5,19.1,20.34,9.27,33,29,4771,True
2010,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,5,17.42,26.18,8.22,37,19,5281,True
2011,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,3,19.267,17.633,9.557,23,6,2204,True
2012,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,3,20.8,25.4,7.633,23,78,1155,True
2013,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,3,19.567,18.693,7.947,25,22,2329,True
2014,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,3,19.7,18.997,9.303,23,35,2246,True
2015,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,3,18.833,25.047,8.547,20,285,1778,True
2016,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,3,17.733,24.2,7.16,27,81,2920,True
2017,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,3,19.067,21.883,9.33,26,21,1333,True
2018,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,1,13.0,15.16,11.25,7,0,230,True
2019,Pokemouche (NB),Chemin Arseneau,47.66008,-64.80486,1,17.3,18.9,9.08,7,0,104,True
2004,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,5,21.778,27.864,10.656,43,1326,6515,True
2005,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,5,19.48,23.12,7.888,42,556,3853,True
2006,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,4,17.975,25.673,6.615,29,0,1671,True
2007,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,5,19.92,23.68,8.872,45,668,5097,True
2008,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,5,19.02,24.36,8.804,39,296,6373,True
2009,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,5,17.64,25.04,8.222,28,195,1980,True
2010,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,5,18.12,24.28,7.72,35,148,1188,True
2011,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,3,19.5,23.833,8.877,21,48,3988,True
2012,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,3,19.567,25.143,9.233,25,47,330,True
2013,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,3,20.633,22.283,9.847,23,41,821,True
2014,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,3,21.867,25.463,9.737,26,25,438,True
2015,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,3,19.567,24.613,10.42,22,56,674,True
2016,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,3,20.433,23.713,8.703,23,3,899,True
2017,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,3,17.733,23.64,8.467,21,18,502,True
2018,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,1,13.1,24.11,8.55,9,0,542,True
2019,Cocagne (NB),Chemin Belle-Côte,46.33125,-64.58293,1,21.4,21.77,8.34,9,5,56,True
2004,Lameque (NB),Chemin Duclos,47.785525,-64.684277,5,15.248,26.536,7.89,26,1933,2909,True
2005,Lameque (NB),Chemin Duclos,47.785525,-64.684277,5,17.0,26.16,7.538,30,12,453,True
2006,Lameque (NB),Chemin Duclos,47.785525,-64.684277,5,15.84,27.3,8.34,26,37,968,True
2007,Lameque (NB),Chemin Duclos,47.785525,-64.684277,5,16.52,27.12,7.188,28,35,1908,True
2008,Lameque (NB),Chemin Duclos,47.785525,-64.684277,5,16.84,25.08,8.494,32,47,2630,True
2009,Lameque (NB),Chemin Duclos,47.785525,-64.684277,5,14.86,26.66,8.564,31,43,1660,True
2010,Lameque (NB),Chemin Duclos,47.785525,-64.684277,5,16.96,27.94,7.32,25,89,537,True
2011,Lameque (NB),Chemin Duclos,47.785525,-64.684277,3,18.6,20.467,7.703,18,42,599,True
2012,Lameque (NB),Chemin Duclos,47.785525,-64.684277,3,20.1,27.167,7.54,19,13,490,True
2013,Lameque (NB),Chemin Duclos,47.785525,-64.684277,3,17.8,25.357,7.607,21,132,828,True
2014,Lameque (NB),Chemin Duclos,47.785525,-64.684277,3,18.167,22.827,7.133,17,66,467,True
2015,Lameque (NB),Chemin Duclos,47.785525,-64.684277,3,19.567,19.893,7.83,23,500,506,True
2018,Lameque (NB),Chemin Duclos,47.785525,-64.684277,1,17.7,22.9,5.84,8,0,223,False
2019,Lameque (NB),Chemin Duclos,47.785525,-64.684277,1,21.9,24.05,12.0,9,5,2863,True
2007,Shediac River (NB),Chez Leo,46.273139,-64.575275,5,19.32,21.32,7.978,40,201,2007,True
2008,Shediac River (NB),Chez Leo,46.273139,-64.575275,5,17.26,18.86,7.61,46,132,2154,True
2009,Shediac River (NB),Chez Leo,46.273139,-64.575275,5,18.48,18.84,8.834,45,163,2006,True
2010,Shediac River (NB),Chez Leo,46.273139,-64.575275,5,18.58,21.32,7.834,43,134,1891,True
2011,Shediac River (NB),Chez Leo,46.273139,-64.575275,3,19.6,20.067,7.083,23,5,505,True
2012,Shediac River (NB),Chez Leo,46.273139,-64.575275,3,22.733,22.787,7.843,28,27,1602,True
2013,Shediac River (NB),Chez Leo,46.273139,-64.575275,3,21.7,19.327,8.14,25,105,827,True
2014,Shediac River (NB),Chez Leo,46.273139,-64.575275,3,22.533,18.523,7.77,14,8,163,True
2015,Shediac River (NB),Chez Leo,46.273139,-64.575275,3,20.8,22.12,8.043,22,15,322,True
2016,Shediac River (NB),Chez Leo,46.273139,-64.575275,3,19.5,14.54,8.447,28,6,1260,True
2017,Shediac River (NB),Chez Leo,46.273139,-64.575275,3,21.533,22.36,7.533,23,42,284,False
2018,Shediac River (NB),Chez Leo,46.273139,-64.575275,1,16.7,18.62,10.75,11,1,2136,True
2019,Shediac River (NB),Chez Leo,46.273139,-64.575275,1,16.9,22.63,8.32,8,0,208,True
2004,Shippagan (NB),Chiasson Office,47.746584,-64.657552,5,17.034,26.554,9.258,37,2252,5508,True
2005,Shippagan (NB),Chiasson Office,47.746584,-64.657552,5,19.38,26.38,7.258,31,72,7567,True
2006,Shippagan (NB),Chiasson Office,47.746584,-64.657552,4,17.625,26.875,7.9,32,218,1137,True
2007,Shippagan (NB),Chiasson Office,47.746584,-64.657552,5,24.84,26.44,9.112,34,113,1979,True
2008,Shippagan (NB),Chiasson Office,47.746584,-64.657552,5,19.78,26.16,9.31,38,1321,2710,True
2009,Shippagan (NB),Chiasson Office,47.746584,-64.657552,4,15.9,25.775,8.133,34,63,829,True
2010,Shippagan (NB),Chiasson Office,47.746584,-64.657552,5,18.66,28.08,7.638,45,144,3282,True
2011,Shippagan (NB),Chiasson Office,47.746584,-64.657552,3,20.8,22.833,8.113,26,55,2209,True
2012,Shippagan (NB),Chiasson Office,47.746584,-64.657552,3,23.167,27.8,7.94,26,23,3197,True
2013,Shippagan (NB),Chiasson Office,47.746584,-64.657552,3,19.767,26.377,8.847,29,61,1631,True
2014,Shippagan (NB),Chiasson Office,47.746584,-64.657552,3,19.667,22.95,8.12,21,261,1463,True
2015,Shippagan (NB),Chiasson Office,47.746584,-64.657552,3,19.5,25.637,7.36,18,11,435,True
2016,Shippagan (NB),Chiasson Office,47.746584,-64.657552,3,19.767,22.483,7.57,25,123,4335,True
2004,Lameque (NB),Chrysler 67,47.80085,-64.664486,5,16.628,26.426,8.286,34,1363,3057,True
2005,Lameque (NB),Chrysler 67,47.80085,-64.664486,5,17.02,25.84,7.398,28,216,596,True
2006,Lameque (NB),Chrysler 67,47.80085,-64.664486,5,16.48,27.48,8.047,31,107,881,True
2007,Lameque (NB),Chrysler 67,47.80085,-64.664486,5,16.8,26.88,7.646,29,424,2742,True
2008,Lameque (NB),Chrysler 67,47.80085,-64.664486,5,16.72,24.9,8.196,34,105,2619,True
2009,Lameque (NB),Chrysler 67,47.80085,-64.664486,5,15.22,26.46,9.158,38,218,1521,True
2010,Lameque (NB),Chrysler 67,47.80085,-64.664486,5,17.84,27.98,7.436,27,130,1105,True
2011,Lameque (NB),Chrysler 67,47.80085,-64.664486,3,18.933,19.567,7.337,24,504,781,True
2012,Lameque (NB),Chrysler 67,47.80085,-64.664486,3,20.733,26.867,7.72,19,24,642,True
2013,Lameque (NB),Chrysler 67,47.80085,-64.664486,3,18.467,25.187,7.593,22,42,727,True
2014,Lameque (NB),Chrysler 67,47.80085,-64.664486,3,18.967,22.243,7.987,13,99,287,True
2015,Lameque (NB),Chrysler 67,47.80085,-64.664486,3,19.7,25.167,7.697,14,589,475,True
2018,Lameque (NB),Chrysler 67,47.80085,-64.664486,1,16.0,23.64,7.98,6,0,86,False
2019,Lameque (NB),Chrysler 67,47.80085,-64.664486,1,23.6,22.7,0,7,19,834,True
2005,Murray River (PE),Clows Point,46.048606,-62.52941,4,21.175,25.975,7.813,18,3,896,True
2006,Murray River (PE),Clows Point,46.048606,-62.52941,2,20.8,24.15,8.71,11,16,656,True
2007,Murray River (PE),Clows Point,46.048606,-62.52941,5,17.52,23.06,8.004,44,0,2279,True
2008,Murray River (PE),Clows Point,46.048606,-62.52941,5,16.68,20.48,8.458,40,75,1477,True
2009,Murray River (PE),Clows Point,46.048606,-62.52941,5,17.12,23.92,8.752,41,32,1182,True
2010,Murray River (PE),Clows Point,46.048606,-62.52941,5,17.375,22.95,8.768,36,1418,1080,True
2011,Murray River (PE),Clows Point,46.048606,-62.52941,3,17.7,25.933,7.85,19,297,290,True
2012,Murray River (PE),Clows Point,46.048606,-62.52941,3,22.867,26.3,8.087,11,181,913,True
2013,Murray River (PE),Clows Point,46.048606,-62.52941,3,19.6,27.53,10.217,16,738,498,True
2014,Murray River (PE),Clows Point,46.048606,-62.52941,3,21.133,23.937,9.783,15,63,1561,True
2015,Murray River (PE),Clows Point,46.048606,-62.52941,3,19.5,25.863,10.467,13,7,191,True
2016,Murray River (PE),Clows Point,46.048606,-62.52941,3,19.1,23.767,8.263,17,804,215,True
2017,Murray River (PE),Clows Point,46.048606,-62.52941,3,19.733,24.87,8.73,24,34,1270,False
2018,Murray River (PE),Clows Point,46.048606,-62.52941,1,13.1,26.65,10.11,11,0,273,False
2019,Murray River (PE),Clows Point,46.048606,-62.52941,1,16.3,24.31,8.63,9,0,270,True
2004,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,5,18.374,27.692,8.254,28,850,2718,True
2005,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,5,20.12,20.86,7.948,55,1355,5387,True
2006,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,4,19.575,24.1,6.763,33,0,4004,True
2007,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,5,17.64,21.02,8.418,50,1447,9867,True
2008,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,5,19.66,20.22,9.014,45,657,4245,True
2009,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,5,19.36,21.48,8.112,42,1001,10237,True
2010,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,5,19.82,22.92,7.986,42,1152,5825,True
2011,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,3,20.333,19.9,7.617,32,268,5366,True
2012,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,3,20.533,24.56,7.693,27,545,2661,True
2013,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,3,22.1,20.643,8.593,35,289,2000,True
2014,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,3,23.067,22.74,9.043,27,143,827,True
2015,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,3,20.267,22.62,9.013,33,55,1267,True
2016,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,3,20.833,22.933,7.713,24,27,801,True
2017,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,3,20.533,22.743,8.177,33,163,3197,True
2018,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,1,13.3,21.99,8.71,11,2,831,False
2019,Cocagne (NB),Cocagne Marina,46.332469,-64.624657,1,22.4,22.88,8.05,8,0,148,True
2009,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,5,16.54,27.0,7.638,29,39,530,True
2010,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,5,17.54,25.5,8.442,47,864,7026,True
2011,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,3,20.333,24.233,7.673,24,8,344,True
2012,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,3,20.8,26.203,9.847,19,289,531,True
2013,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,3,20.267,26.093,9.413,22,430,423,True
2014,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,3,20.733,26.657,8.31,18,35,572,True
2015,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,3,20.867,20.94,10.14,24,38,923,True
2016,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,3,20.8,25.453,9.517,23,7,906,True
2017,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,3,20.833,26.857,6.9,19,729,252,True
2018,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,1,16.7,29.47,9.02,8,0,33,False
2019,Cap-Pelé (NB),Comeau Point,46.172,-64.14977,1,17.3,26.1,8.5,4,0,21,False
2008,Cheticamp (NS),Coop,46.6243,-61.017433,5,16.5,25.18,9.356,32,2946,611,True
2009,Cheticamp (NS),Coop,46.6243,-61.017433,5,16.86,27.22,9.072,34,155,206,True
2010,Cheticamp (NS),Coop,46.6243,-61.017433,5,17.16,25.54,8.042,35,290,265,True
2011,Cheticamp (NS),Coop,46.6243,-61.017433,3,18.667,27.233,8.623,14,216,33,True
2012,Cheticamp (NS),Coop,46.6243,-61.017433,3,20.333,27.753,8.013,17,3,238,True
2013,Cheticamp (NS),Coop,46.6243,-61.017433,3,19.467,27.117,8.06,16,16,42,True
2014,Cheticamp (NS),Coop,46.6243,-61.017433,3,18.967,27.56,8.48,16,18,109,True
2015,Cheticamp (NS),Coop,46.6243,-61.017433,3,17.733,28.44,9.27,19,2,277,True
2016,Cheticamp (NS),Coop,46.6243,-61.017433,3,16.667,28.14,9.02,25,22,215,True
2017,Cheticamp (NS),Coop,46.6243,-61.017433,3,19.867,27.323,8.793,22,3,389,True
2018,Cheticamp (NS),Coop,46.6243,-61.017433,1,11.6,25.9,10.38,6,1,107,True
2014,Enmore (PE),Coop Road (Dry Wharf),46.59992,-64.07742,3,18.7,25.57,8.517,14,3773,470,True
2015,Enmore (PE),Coop Road (Dry Wharf),46.59992,-64.07742,3,20.333,27.46,9.027,17,91,1460,True
2016,Enmore (PE),Coop Road (Dry Wharf),46.59992,-64.07742,3,17.867,24.567,7.173,23,84,258,True
2017,Enmore (PE),Coop Road (Dry Wharf),46.59992,-64.07742,3,20.7,26.657,7.617,17,411,309,False
2018,Enmore (PE),Coop Road (Dry Wharf),46.59992,-64.07742,1,10.1,25.67,7.39,8,0,298,False
2019,Enmore (PE),Coop Road (Dry Wharf),46.59992,-64.07742,1,17.5,25.22,7.77,5,0,178,True
2019,Winter River (PE),Court's Island road 50%,46.37772,-63.02224,3,22.5,25.1,11.98,25,162,3583,True
2004,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,2,18.255,21.77,8.39,19,499,1495,True
2006,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,5,18.32,18.36,8.03,42,37,1153,True
2007,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,5,17.72,18.66,8.468,45,505,1038,True
2008,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,5,17.02,12.46,7.982,49,833,4937,True
2009,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,5,18.46,16.98,8.11,58,314,4563,True
2010,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,5,18.3,19.36,8.788,59,320,2585,True
2011,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,3,20.3,11.867,7.637,32,1108,2168,True
2012,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,3,21.3,20.613,6.92,32,456,1141,True
2013,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,3,19.5,14.2,8.257,38,650,2123,True
2014,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,3,20.533,15.98,7.86,33,223,1345,True
2015,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,3,20.267,17.067,7.197,31,689,1068,True
2016,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,3,17.1,14.267,10.997,34,833,2870,True
2017,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,3,19.367,19.4,7.83,29,78,1197,True
2018,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,1,14.7,20.4,9.26,9,2,423,False
2019,Tabusintac (NB),Covedell Rd.,47.330701,-64.972889,1,17.7,15.8,8.27,7,0,310,True
2004,Pugwash (NS),Crescent Beach,45.8547,-63.66575,3,20.467,28.333,7.737,12,228,811,True
2005,Pugwash (NS),Crescent Beach,45.8547,-63.66575,5,15.92,27.08,8.604,20,1,951,True
2006,Pugwash (NS),Crescent Beach,45.8547,-63.66575,4,17.775,27.2,6.635,15,160,1770,True
2007,Pugwash (NS),Crescent Beach,45.8547,-63.66575,5,18.28,27.64,9.94,15,58,844,True
2008,Pugwash (NS),Crescent Beach,45.8547,-63.66575,5,17.78,24.18,7.824,17,408,2681,True
2009,Pugwash (NS),Crescent Beach,45.8547,-63.66575,5,18.76,27.1,8.288,23,759,1270,True
2010,Pugwash (NS),Crescent Beach,45.8547,-63.66575,5,18.34,26.92,7.904,22,32,165,True
2011,Pugwash (NS),Crescent Beach,45.8547,-63.66575,3,19.733,25.067,8.003,11,8,455,True
2012,Pugwash (NS),Crescent Beach,45.8547,-63.66575,3,20.433,26.517,8.487,10,0,179,True
2013,Pugwash (NS),Crescent Beach,45.8547,-63.66575,3,20.867,26.397,9.93,14,13,1649,True
2014,Pugwash (NS),Crescent Beach,45.8547,-63.66575,3,21.867,25.963,7.317,19,18,516,True
2015,Pugwash (NS),Crescent Beach,45.8547,-63.66575,3,19.967,27.663,8.82,12,189,137,True
2016,Pugwash (NS),Crescent Beach,45.8547,-63.66575,3,18.8,27.603,7.66,14,4,297,True
2017,Pugwash (NS),Crescent Beach,45.8547,-63.66575,3,19.433,25.967,8.397,7,1,82,True
2018,Pugwash (NS),Crescent Beach,45.8547,-63.66575,1,23.9,26.25,7.82,4,2,284,False
2019,Pugwash (NS),Crescent Beach,45.8547,-63.66575,1,20.6,26.02,7.5,2,1,5,False
2009,Bathurst Harbour (NB),Daly Point,47.63957,-65.61709,4,18.775,17.25,7.985,29,439,1976,True
2010,Bathurst Harbour (NB),Daly Point,47.63957,-65.61709,2,21.45,22.3,7.865,10,23,130,True
2011,Bathurst Harbour (NB),Daly Point,47.63957,-65.61709,3,17.9,18.867,7.42,15,59,435,True
2019,Miramichi (NB),Dickson Beach,47.07417,-65.36536,1,18.7,7.21,8.82,5,0,264,False
2004,Pugwash (NS),Doherty Creek,45.814,-63.659167,3,19.967,27.967,6.717,18,44,1354,True
2005,Pugwash (NS),Doherty Creek,45.814,-63.659167,5,18.06,24.86,9.016,37,10,1561,True
2006,Pugwash (NS),Doherty Creek,45.814,-63.659167,4,19.3,25.7,7.043,23,128,687,True
2007,Pugwash (NS),Doherty Creek,45.814,-63.659167,5,18.96,21.36,8.828,33,272,966,True
2008,Pugwash (NS),Doherty Creek,45.814,-63.659167,5,18.9,23.84,7.416,28,4241,2055,True
2009,Pugwash (NS),Doherty Creek,45.814,-63.659167,5,19.78,25.92,9.618,27,281,306,True
2010,Pugwash (NS),Doherty Creek,45.814,-63.659167,5,19.86,25.6,7.516,19,569,338,True
2011,Pugwash (NS),Doherty Creek,45.814,-63.659167,3,21.167,23.067,7.13,18,28,1353,True
2012,Pugwash (NS),Doherty Creek,45.814,-63.659167,3,21.867,25.983,7.303,19,0,359,True
2013,Pugwash (NS),Doherty Creek,45.814,-63.659167,3,21.3,23.74,7.457,23,42,886,True
2014,Pugwash (NS),Doherty Creek,45.814,-63.659167,3,22.4,24.02,7.583,21,13,436,True
2015,Pugwash (NS),Doherty Creek,45.814,-63.659167,3,21.933,26.717,8.347,11,17,204,False
2016,Pugwash (NS),Doherty Creek,45.814,-63.659167,3,20.167,27.43,7.417,18,17,592,True
2017,Pugwash (NS),Doherty Creek,45.814,-63.659167,3,20.433,25.26,8.343,13,6,70,True
2018,Pugwash (NS),Doherty Creek,45.814,-63.659167,2,20.55,21.95,7.54,7,1,135,False
2019,Pugwash (NS),Doherty Creek,45.814,-63.659167,1,22.1,25.5,7.25,3,2,3,False
2004,Trout River (PE),Douglas Road,46.45854,-63.46931,5,18.4,25.98,8.988,37,142,6405,True
2005,Trout River (PE),Douglas Road,46.45854,-63.46931,4,20.0,22.4,8.32,24,16,3855,True
2006,Trout River (PE),Douglas Road,46.45854,-63.46931,5,18.94,23.26,5.745,13,194,557,True
2007,Trout River (PE),Douglas Road,46.45854,-63.46931,5,20.5,25.22,11.18,46,1803,1631,True
2008,Trout River (PE),Douglas Road,46.45854,-63.46931,5,18.48,24.82,10.142,40,594,3890,True
2009,Trout River (PE),Douglas Road,46.45854,-63.46931,5,19.72,22.36,12.118,35,178,1852,True
2010,Trout River (PE),Douglas Road,46.45854,-63.46931,5,17.75,25.325,8.493,8,0,942,True
2011,Trout River (PE),Douglas Road,46.45854,-63.46931,3,20.367,18.867,9.553,32,959,2263,True
2012,Trout River (PE),Douglas Road,46.45854,-63.46931,3,21.7,23.8,13.133,10,0,684,True
2013,Trout River (PE),Douglas Road,46.45854,-63.46931,3,21.1,22.4,10.993,21,78,2579,True
2014,Trout River (PE),Douglas Road,46.45854,-63.46931,3,21.433,23.757,10.99,25,505,1624,True
2015,Trout River (PE),Douglas Road,46.45854,-63.46931,3,22.333,25.54,15.155,16,26,1319,True
2016,Trout River (PE),Douglas Road,46.45854,-63.46931,3,20.7,22.333,9.81,29,291,2266,True
2017,Trout River (PE),Douglas Road,46.45854,-63.46931,3,22.567,20.357,13.267,23,19,1308,True
2018,Trout River (PE),Douglas Road,46.45854,-63.46931,1,16.0,23.62,10.72,10,0,2682,True
2019,Trout River (PE),Douglas Road,46.45854,-63.46931,1,22.2,20.92,13.52,10,0,2538,True
2009,Bathurst Harbour (NB),Downtown Causeway,47.61966,-65.66146,5,18.98,13.22,8.834,30,229,2523,True
2010,Bathurst Harbour (NB),Downtown Causeway,47.61966,-65.66146,2,21.2,23.55,8.405,11,36,385,True
2011,Bathurst Harbour (NB),Downtown Causeway,47.61966,-65.66146,3,18.733,10.533,8.11,13,1,100,True
2004,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,5,16.5,27.76,7.546,47,301,3019,True
2005,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,5,16.84,26.6,8.36,40,62,3083,True
2006,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,5,18.26,25.4,7.938,48,353,3751,True
2007,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,5,18.96,20.84,10.684,50,347,8155,True
2008,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,5,17.88,22.06,9.772,62,751,6451,True
2009,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,4,17.45,26.9,9.29,36,100,1056,True
2010,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,5,18.44,25.32,8.468,43,17,1129,True
2011,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,5,17.72,25.92,8.364,45,161,984,True
2012,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,4,19.1,21.82,8.335,33,12,1639,True
2013,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,3,20.367,27.023,7.583,23,272,103,True
2014,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,3,19.833,26.07,7.997,24,130,489,True
2015,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,3,18.967,24.87,8.353,25,161,942,True
2016,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,3,18.133,21.573,8.613,30,22,501,True
2017,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,3,19.033,26.61,7.773,27,25,806,True
2018,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,1,18.0,16.2,10.2,10,4,127,True
2019,Antigonish (NS),Dunn's Beach,45.68314,-61.87121,1,12.9,27.01,9.54,11,1,647,False
2004,Pictou (NS),East Side Causeway,45.669717,-62.7275,5,16.82,28.22,8.304,33,209,2798,True
2005,Pictou (NS),East Side Causeway,45.669717,-62.7275,5,17.16,25.06,8.702,24,92,1993,True
2006,Pictou (NS),East Side Causeway,45.669717,-62.7275,5,17.0,26.22,8.284,39,513,4580,True
2007,Pictou (NS),East Side Causeway,45.669717,-62.7275,5,17.74,26.08,10.248,33,404,2028,True
2008,Pictou (NS),East Side Causeway,45.669717,-62.7275,5,17.92,24.38,7.852,34,2458,1972,True
2009,Pictou (NS),East Side Causeway,45.669717,-62.7275,5,18.56,25.84,8.484,31,314,4592,True
2010,Pictou (NS),East Side Causeway,45.669717,-62.7275,5,18.62,26.68,7.918,27,782,5004,True
2011,Pictou (NS),East Side Causeway,45.669717,-62.7275,3,20.433,24.033,7.235,24,83,2202,True
2012,Pictou (NS),East Side Causeway,45.669717,-62.7275,3,21.533,26.08,9.03,11,8,2136,True
2013,Pictou (NS),East Side Causeway,45.669717,-62.7275,3,20.9,22.703,8.667,23,2264,189,True
2014,Pictou (NS),East Side Causeway,45.669717,-62.7275,3,23.167,23.713,8.153,13,118,304,True
2015,Pictou (NS),East Side Causeway,45.669717,-62.7275,3,20.067,26.227,8.29,21,547,599,False
2016,Pictou (NS),East Side Causeway,45.669717,-62.7275,3,19.567,27.147,8.09,10,115,1148,True
2017,Pictou (NS),East Side Causeway,45.669717,-62.7275,3,19.933,27.207,7.97,19,28,2631,False
2018,Pictou (NS),East Side Causeway,45.669717,-62.7275,1,21.8,22.26,9.92,4,0,20,False
2019,Pictou (NS),East Side Causeway,45.669717,-62.7275,1,14.9,23.37,9.43,5,0,112,False
2004,Lameque (NB),Eco Parc,47.799472,-64.65711,5,16.794,26.526,8.672,25,1015,999,True
2005,Lameque (NB),Eco Parc,47.799472,-64.65711,5,17.04,25.72,7.044,29,231,444,True
2006,Lameque (NB),Eco Parc,47.799472,-64.65711,5,16.36,26.96,5.91,26,207,667,True
2007,Lameque (NB),Eco Parc,47.799472,-64.65711,5,16.88,26.8,7.414,21,613,573,True
2008,Lameque (NB),Eco Parc,47.799472,-64.65711,5,16.86,25.34,9.056,24,76,615,True
2009,Lameque (NB),Eco Parc,47.799472,-64.65711,5,15.38,26.7,8.306,26,64,533,True
2010,Lameque (NB),Eco Parc,47.799472,-64.65711,5,17.74,28.1,7.978,33,83,2132,True
2011,Lameque (NB),Eco Parc,47.799472,-64.65711,3,18.833,23.167,6.767,14,95,378,True
2012,Lameque (NB),Eco Parc,47.799472,-64.65711,3,21.367,26.7,7.847,19,113,378,True
2013,Lameque (NB),Eco Parc,47.799472,-64.65711,3,18.633,24.987,7.837,18,127,685,True
