site,province,station,latitude_de_station,longitude_de_station,saisons_en_opération_et_nombre_échontillions,liste_des_espèces_capturées,list_de_VAS,nombre_total_de_poisson_capturées,nombre_annuel_moyen_de_poissons_capturés
Desable River,N-B,Redcliff,46.189055555555555,-63.4369444444444,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Alosa sp. (Gaspereau ou Alose dété), Capucette dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus",6166,880.86
Desable River,N-B,Shirley's View,46.188,-63.4228888888889,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Capucette dAtlantique, Épinoche tachetée, Plies sp., Crabe vert, Choquemort, Épinoche a neuf épines, Crevette de sable, Plie lisse, Épinoche a trois épines","Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus",6601,943.00
Desable River,N-B,Visser's,46.192083333333336,-63.4204444444444,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Saumon dAtlantique, Capucette dAtlantique, Épinoche tachetée, Plies sp., Crevette dherbe, Crabe vert, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus",8820,1260.00
Eel Ground,N-B,Anderson's Bridge,46.96733,-65.59996,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2)","Gaspereau, Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Truite mouchetée, Espèces Chub, Famille Cyprinidae, Plies sp., Épinoche a quatre épines, Mené à lac, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Menier Noir","Algue brune filamenteuse, Zostere marine, Algue verte, Laminaires",8080,734.55
Eel Ground,N-B,Eel Ground,46.9639,-65.62628,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Truite mouchetée, Espèces Chub, Famille Cyprinidae, Épinoche a quatre épines, Mené à lac, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Bar-perche, Menier Noir","Zostere marine, Algue verte",5300,441.67
Eel Ground,N-B,Nelson Road,46.96865,-65.55928,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2)","Gaspereau, Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Espèces Chub, Famille Cyprinidae, Épinoche a quatre épines, Crabe de vase, Choquemort, Épinoche a neuf épines, Truite arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Menier Noir, Plie rouge","Algue brune filamenteuse, Zostere marine, Algue verte, Laminaires, Ruppie maritime",6314,574.00
Eel Ground,N-B,South Esk,46.95805,-65.62209,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Truite mouchetée, Espèces Chub, Famille Cyprinidae, Épinoche a quatre épines, Mené à lac, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Menier Noir","Zostere marine, Algue verte",2756,229.67
Eel Ground,N-B,Strawberry Marsh,46.98624,-65.57426,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Famille Cyprinidae, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Menier Noir","Algue brune filamenteuse, Zostere marine, Algue verte, Laminaires",8628,719.00
Eel Ground,N-B,Wilson Point,46.96419,-65.59513,"2008(5), 2009(5), 2010(4), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2), 2019(1)","Gaspereau, Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Truite mouchetée, Espèces Chub, Famille Cyprinidae, Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Truite arc-en-ciel, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Menier Noir","Algue brune filamenteuse, Zostere marine, Algue verte",2707,225.58
Lameque,N-B,Chemin Duclos,47.785525,-64.684277,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",19995,1428.21
Lameque,N-B,Chrysler 67,47.80085,-64.664486,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",20193,1442.36
Lameque,N-B,Eco Parc,47.799472,-64.65711,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",19038,1359.86
Lameque,N-B,Irving,47.788011,-64.63752,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",17735,1266.79
Lameque,N-B,Roger Noel,47.782426,-64.641109,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Espece Fucus",20508,1464.86
Lameque,N-B,Rue du Pecheur,47.789535,-64.646046,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3)","Capucette dAtlantique, Épinoche tachetée, Épinoche a quatre épines, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",33062,2755.17
Miramichi,N-B,Burnt Church,47.193236,-65.136361,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Alose dété, Espèces Chub, Tanche-tautogue, Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Bar-perche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Codium Fragile, Laminaires, Espece Fucus, Ruppie maritime",52707,3294.19
Miramichi,N-B,Dickson Beach,47.07417,-65.36536,2019(1),"Capucette dAtlantique, Épinoche tachetée, Choquemort, Crevette de sable, Épinoche a trois épines",,264,264.00
Miramichi,N-B,Gordon's wharf,47.079645,-65.393156,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Alose dété, Truite mouchetée, Barbotte Brune, Famille Cyprinidae, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Menier Noir, Plie rouge","Algue brune filamenteuse, Zostere marine, Algue verte, Espece Fucus",37459,2341.19
Miramichi,N-B,Middle Island,47.057687,-65.426951,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Alose dété, Épinoche a cinq épines, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèces truites, Espèce inconnue, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",25093,1568.31
Miramichi,N-B,Murdock beach,47.074723,-65.33653,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Alose dété, Épinoche a cinq épines, Espèces Chub, Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",17194,1074.63
Miramichi,N-B,Oak Point,47.116738,-65.266799,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Alose dété, Épinoche a cinq épines, Tanche-tautogue, Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Menier Noir, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",28657,1791.06
Miramichi,N-B,Pointe aux Carr,47.077419,-65.207023,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Alose dété, Épinoche a cinq épines, Truite mouchetée, Tanche-tautogue, Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",19369,1210.56
Néguac,N-B,Esgenoopetitj,47.211567,-65.114617,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Syngnate brun, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",7725,1545.00
Néguac,N-B,Ferdinand Road,47.246197,-65.072603,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Capucette dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Ruppie maritime",15854,2642.33
Néguac,N-B,Ile-aux-foins,47.230688,-65.075657,"2013(3), 2014(3), 2015(3), 2016(2), 2017(3), 2018(1)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",31083,5180.50
Néguac,N-B,Malpec Road,47.277433,-65.017733,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",3803,633.83
Néguac,N-B,McLeod Road,47.263633,-65.04365,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",3695,615.83
Néguac,N-B,Sullivan Road,47.254983,-65.063167,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Capucette dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Syngnate brun, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines","Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus",3863,643.83
Pokemouche,N-B,Centre Plein Air,47.67657,-64.84812,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Épinoche a trois épines","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",38701,3518.27
Pokemouche,N-B,Chemin Arseneau,47.66008,-64.80486,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",24927,2266.09
Pokemouche,N-B,Inkerman Ferry,47.67764,-64.81683,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Syngnate brun, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",18893,1717.55
Pokemouche,N-B,Pointe a Godin,47.68707,-64.8487,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Plies sp., Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Syngnate brun, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Menier Noir, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",24682,2243.82
Pokemouche,N-B,Pointe des Mazeroles,47.67109,-64.8083,"2009(5), 2010(5), 2011(2), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",19574,1779.45
Pokemouche,N-B,Sentier NB,47.67381,-64.8209,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Tanche-tautogue, Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Ruppie maritime",15638,1421.64
Richibouctou,N-B,Carson Landing,46.644702,-64.870099,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Gaspereau, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Merluche blanche, Bar-perche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",22216,1851.33
Richibouctou,N-B,Chalet du Havre,46.689667,-64.858834,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Gaspereau, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Merluche blanche, Bar-perche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",41265,3438.75
Richibouctou,N-B,Goguen Road,46.674162,-64.84545,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Bar-perche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",71491,5957.58
Richibouctou,N-B,Irving,46.646119,-64.875349,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Famille Cyprinidae, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Bar-perche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",20833,1736.08
Richibouctou,N-B,Jardine Park,46.665292,-64.861867,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Bar-perche, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus, Ruppie maritime",14028,1169.00
Richibouctou,N-B,McGuire Beach,46.692181,-64.824549,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Gaspereau, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Merluche blanche, Bar-perche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",15822,1318.50
Scoudouc River,N-B,Breakwater,46.217178,-64.551758,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Mustèle argentée, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Ruppie maritime",45209,2825.56
