site,province,station,station_latitude,station_longitude,seasons_in_operation_and_samples_collected,list_of_species_caught,list_of_SAV,total_number_of_fish_caught,mean_annual_number_of_fish_caught
Eel Ground,NB,Anderson's Bridge,46.96733,-65.59996,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2)","Alewife (Gaspereau), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Brook Trout, Chub Species, Cyprinidae family, Flounder sp., Fourspine Stickleback, Lake Chub, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, White Sucker","Brown fuzzy algae, Eelgrass, Green algae, Kelps",8080,734.55
Eel Ground,NB,Eel Ground,46.9639,-65.62628,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Brook Trout, Chub Species, Cyprinidae family, Fourspine Stickleback, Lake Chub, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, White Perch, White Sucker","Eelgrass, Green algae",5300,441.67
Eel Ground,NB,Nelson Road,46.96865,-65.55928,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2)","Alewife (Gaspereau), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Chub Species, Cyprinidae family, Fourspine Stickleback, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Trout, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, White Sucker, Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Kelps, Widgeon grass",6314,574.00
Eel Ground,NB,South Esk,46.95805,-65.62209,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Brook Trout, Chub Species, Cyprinidae family, Fourspine Stickleback, Lake Chub, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, White Sucker","Eelgrass, Green algae",2756,229.67
Eel Ground,NB,Strawberry Marsh,46.98624,-65.57426,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Cyprinidae family, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, White Sucker","Brown fuzzy algae, Eelgrass, Green algae, Kelps",8628,719.00
Eel Ground,NB,Wilson Point,46.96419,-65.59513,"2008(5), 2009(5), 2010(4), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Brook Trout, Chub Species, Cyprinidae family, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rainbow Trout, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, White Sucker","Brown fuzzy algae, Eelgrass, Green algae",2707,225.58
Lameque,NB,Chemin Duclos,47.785525,-64.684277,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",19995,1428.21
Lameque,NB,Chrysler 67,47.80085,-64.664486,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","American Eel, American Sand Lance, Atlantic Silverside, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",20193,1442.36
Lameque,NB,Eco Parc,47.799472,-64.65711,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",19038,1359.86
Lameque,NB,Irving,47.788011,-64.63752,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed, Widgeon grass",17735,1266.79
Lameque,NB,Roger Noel,47.782426,-64.641109,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed",20508,1464.86
Lameque,NB,Rue du Pecheur,47.789535,-64.646046,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3)","Atlantic Silverside, Blackspotted Stickleback, Fourspine Stickleback, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",33062,2755.17
Miramichi,NB,Burnt Church,47.193236,-65.136361,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Chub Species, Cunner, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Green Fleece, Kelps, Rockweed, Widgeon grass",52707,3294.19
Miramichi,NB,Dickson Beach,47.07417,-65.36536,2019(1),"Atlantic Silverside, Blackspotted Stickleback, Mummichog, Sand Shrimp, Threespine Stickleback",,264,264.00
Miramichi,NB,Gordon's wharf,47.079645,-65.393156,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook Trout, Brown Bullhead, Cyprinidae family, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Sucker, Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed",37459,2341.19
Miramichi,NB,Middle Island,47.057687,-65.426951,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, Unknown species, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",25093,1568.31
Miramichi,NB,Murdock beach,47.074723,-65.33653,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook stickleback, Chub Species, Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",17194,1074.63
Miramichi,NB,Oak Point,47.116738,-65.266799,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook stickleback, Cunner, Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Sucker, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",28657,1791.06
Miramichi,NB,Pointe aux Carr,47.077419,-65.207023,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Blueback Herring, Brook stickleback, Brook Trout, Cunner, Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",19369,1210.56
Néguac,NB,Esgenoopetitj,47.211567,-65.114617,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",7725,1545.00
Néguac,NB,Ferdinand Road,47.246197,-65.072603,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Widgeon grass",15854,2642.33
Néguac,NB,Ile-aux-foins,47.230688,-65.075657,"2013(3), 2014(3), 2015(3), 2016(2), 2017(3), 2018(1)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",31083,5180.50
Néguac,NB,Malpec Road,47.277433,-65.017733,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",3803,633.83
Néguac,NB,McLeod Road,47.263633,-65.04365,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",3695,615.83
Néguac,NB,Sullivan Road,47.254983,-65.063167,"2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback","Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",3863,643.83
Pokemouche,NB,Centre Plein Air,47.67657,-64.84812,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Threespine Stickleback","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",38701,3518.27
Pokemouche,NB,Chemin Arseneau,47.66008,-64.80486,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",24927,2266.09
Pokemouche,NB,Inkerman Ferry,47.67764,-64.81683,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",18893,1717.55
Pokemouche,NB,Pointe a Godin,47.68707,-64.8487,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Sucker, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",24682,2243.82
Pokemouche,NB,Pointe des Mazeroles,47.67109,-64.8083,"2009(5), 2010(5), 2011(2), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",19574,1779.45
Pokemouche,NB,Sentier NB,47.67381,-64.8209,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Cunner, Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Widgeon grass",15638,1421.64
Richibouctou,NB,Carson Landing,46.644702,-64.870099,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Alewife (Gaspereau), Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",22216,1851.33
Richibouctou,NB,Chalet du Havre,46.689667,-64.858834,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Alewife (Gaspereau), Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",41265,3438.75
Richibouctou,NB,Goguen Road,46.674162,-64.84545,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",71491,5957.58
Richibouctou,NB,Irving,46.646119,-64.875349,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Cyprinidae family, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",20833,1736.08
Richibouctou,NB,Jardine Park,46.665292,-64.861867,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",14028,1169.00
Richibouctou,NB,McGuire Beach,46.692181,-64.824549,"2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Alewife (Gaspereau), Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",15822,1318.50
Scoudouc River,NB,Breakwater,46.217178,-64.551758,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Silver Rockling , Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Widgeon grass",45209,2825.56
Scoudouc River,NB,Bridge out,46.219562,-64.553471,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",38027,2376.69
Scoudouc River,NB,Fish Plant,46.219115,-64.553316,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed, Widgeon grass",198086,12380.38
Scoudouc River,NB,Gazibo,46.21465,-64.552165,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",36333,2270.81
Scoudouc River,NB,Lobster,46.218937,-64.554866,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rainbow Trout, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",36356,2272.25
