project_code__code_du_projet,sample_number__numéro_d'échantillon,waterbody_name__nom_masse_d'eau,collection_date__date_de_collecte,net/trap_type__type_filet/piège,scientific_name__nom_scientifique,common_name__nom_commun,abbreviated_name__nom_abrégé,dissection_date__date_dissection,fork_length__longueur_fourche,total_length__longueur_totale,total_mass__masse_totale,dna_tube_size__taille_tube_adn,notes__notes
MLR22,538,McKiel,2022/06/23,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/03,19.4,20.8,104,1.7,black spots
MLR22,539,McKiel,2022/06/23,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/03,18.8,19.9,91.2,1.7,
MLR22,540,McKiel,2022/06/23,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/03,24.5,26.3,202.6,5,
MLR22,541,McKiel,2022/06/23,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/03,13.8,14.5,32.6,1.7,
MLR22,542,McKiel,2022/06/23,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/03,25.4,27.3,221.8,5,
MLR22,543,McKiel,2022/06/23,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/03,26,27.8,227.9,5,black spots
MLR22,544,McKiel,2022/06/23,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/03,30.3,32,326.8,5,
MLR22,545,McKiel,2022/06/23,N/A,Morone americana,White Perch,W.P.,2022/08/03,11.5,12.4,23.8,1.7,
MLR22,546,McKiel,2022/06/23,N/A,Morone americana,White Perch,W.P.,2022/08/03,17.3,18.5,80.9,1.7,
MLR22,547,McKiel,2022/06/23,N/A,Morone americana,White Perch,W.P.,2022/08/03,17.5,18.4,87.1,1.7,
MLR22,548,McKiel,2022/06/23,N/A,Morone americana,White Perch,W.P.,2022/08/03,18.9,20.2,115.1,1.7,
MLR22,549,McKiel,2022/06/23,N/A,Morone americana,White Perch,W.P.,2022/08/03,21.2,22.5,152.2,1.7,
MLR22,550,McKiel,2022/06/23,N/A,Morone americana,White Perch,W.P.,2022/08/03,22.3,24.1,182.4,1.7,
MLR22,551,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,19.4,20.1,80.2,1.7,
MLR22,552,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,11.5,12,18.8,1.7,
MLR22,553,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,10.6,11.1,13.9,1.7,
MLR22,554,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,16,16.7,60.6,1.7,
MLR22,555,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,11.6,12,19,1.7,
MLR22,556,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,12.7,13.2,22.5,1.7,
MLR22,557,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,11,11.7,16.9,1.7,
MLR22,558,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,16.5,17.2,67.1,1.7,
MLR22,559,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,8.1,8.5,6.2,1.7,
MLR22,560,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,14.2,14.2,79.2,1.7,No tail 
MLR22,561,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,12.8,13.5,22.2,1.7,
MLR22,562,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,16.6,17.2,46.5,1.7,
MLR22,563,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,15.9,16.7,44.4,1.7,
MLR22,564,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,18.9,19.7,75.7,1.7,
MLR22,565,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,13.8,14.4,28.2,1.7,Small stomach content
MLR22,566,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,10.6,11.5,14.8,1.7,Small stomach content but scales observed
MLR22,567,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,11.8,12.1,21.9,1.7,
MLR22,568,McKiel,2022/06/23,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/04,21.9,22.7,118.6,1.7,
MLR22,569,McKiel,2022/06/23,N/A,Anguilla rostrata,Amercian Eel,A.E.,2022/08/04,45.9,45.9,172.8,5,Fish in stomach
MLR22,570,McKiel,2022/06/23,N/A,Anguilla rostrata,Amercian Eel,A.E.,2022/08/04,64,64,576.5,5,Two fish in stomach
MLR22,571,McKiel,2022/06/23,N/A,Luxilus cornutus,Common Shiner,C.S.,2022/08/04,10.3,11.2,12,1.7,Small liver sample & stomach content
MLR22,572,McKiel,2022/06/23,N/A,Luxilus cornutus,Common Shiner,C.S.,2022/08/04,12.8,13.8,31.7,1.7,
MLR22,573,McKiel,2022/06/23,N/A,Luxilus cornutus,Common Shiner,C.S.,2022/08/04,12.2,13.1,31.7,1.7,Small liver sample
MLR22,574,McKiel,2022/06/23,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2022/08/04,12,13.3,24.6,1.7,Small liver sample
MLR22,575,McKiel,2022/06/23,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2022/08/04,13.5,14.3,36.2,1.7,
MLR22,576,McKiel,2022/06/23,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2022/08/04,14.4,15.8,46.3,1.7,
MLR22,577,McKiel,2022/06/23,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/04,13.9,14.9,34.4,1.7,No scales
MLR22,578,McKiel,2022/06/23,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/04,13.3,13.3,35.4,1.7,No scales
MLR22,579,McKiel,2022/06/23,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/04,16.7,17.1,77.3,1.7,No scales
MLR22,580,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.3,9.2,6.5,1.7,
MLR22,581,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,11.1,11.9,16.3,1.7,Blackspot
MLR22,582,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.7,9.2,7.3,1.7,Small stomach content
MLR22,583,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,10.6,10.9,13.1,1.7,
MLR22,584,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.3,8.7,6.7,1.7,
MLR22,585,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.9,9.3,7.1,1.7,Small stomach content
MLR22,586,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.9,10.6,11,1.7,
MLR22,587,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.8,10.4,11.2,1.7,Very small liver
MLR22,588,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.9,10.8,12.2,1.7,
MLR22,589,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.8,10.3,10.5,1.7,
MLR22,590,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,10.5,11,13.2,1.7,
MLR22,591,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.4,8.9,6.1,1.7,
MLR22,592,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.9,10.3,10.9,1.7,
MLR22,593,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.5,9,6.6,1.7,Small liver
MLR22,594,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,12.4,12.8,20.1,1.7,
MLR22,595,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.3,9.6,7.7,1.7,
MLR22,596,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.6,9.1,6.5,1.7,Small liver
MLR22,597,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.3,8.6,6.1,1.7,Small liver and stomach
MLR22,598,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.8,10.3,9.3,1.7,
MLR22,599,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.3,8.7,6.7,1.7,
MLR22,600,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,10,10.4,11.9,1.7,
MLR22,601,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.7,10.2,11.9,1.7,Small stomach content
MLR22,602,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,10.4,10.7,12.7,1.7,
MLR22,603,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,8.7,9.2,6.8,1.7,Small liver
MLR22,604,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,7.9,8.3,5.4,1.7,Small liver
MLR22,605,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.4,9.9,10.6,1.7,
MLR22,606,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,11,11.5,12.9,1.7,
MLR22,607,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,10.1,10.7,11.8,1.7,
MLR22,608,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,10.8,11.4,14.3,1.7,
MLR22,609,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,9.9,10.5,10.9,1.7,Small stomach content and parasite
MLR22,610,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,11.2,12.3,15.6,1.7,
MLR22,611,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,11.9,12.4,19.4,1.7,
MLR22,612,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,11.4,12.4,16.5,1.7,
MLR22,613,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,12.4,13.5,21.5,1.7,
MLR22,614,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,12.4,13.2,21.7,1.7,
MLR22,615,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,14.5,15.2,36.9,1.7,
MLR22,616,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,14.5,15.4,34.7,1.7,Fish in stomach
MLR22,617,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,14.3,15,30.4,1.7,
MLR22,618,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,16.3,17,50,1.7,
MLR22,619,Nashwaak,2022/06/24,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/05,24.5,25,182,1.7,
MLR22,620,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/16,15.1,16.6,46.4,1.7,
MLR22,621,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/16,18,19.9,32.7,1.7,
MLR22,622,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/16,15,16.6,464,1.7,
MLR22,623,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/16,16,17.6,53.1,1.7,
MLR22,624,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/16,16.7,18.5,53.7,1.7,
MLR22,625,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/16,14,15.6,39.3,1.7,Small liver sample
MLR22,626,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/16,12.6,14,28.8,1.7,
MLR22,627,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/16,10.1,11.3,12.9,1.7,Small liver
MLR22,628,Nashwaak,2022/06/24,N/A,Luxilus cornutus,Common Shiner,C.S.,2022/08/16,10,11.4,18.8,1.7,Small liver
MLR22,629,Nashwaak,2022/06/24,N/A,Luxilus cornutus,Common Shiner,C.S.,2022/08/16,10.5,11.7,20,1.7,Small liver
MLR22,630,Nashwaak,2022/06/24,N/A,Luxilus cornutus,Common Shiner,C.S.,2022/08/16,12,13.5,27.5,1.7,
MLR22,631,Nashwaak,2022/06/24,N/A,Luxilus cornutus,Common Shiner,C.S.,2022/08/16,13.5,14.6,35.2,1.7,Small liver sample
MLR22,632,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,14,14.5,35.9,1.7,Small liver sample
MLR22,633,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,16.5,17.7,54.4,1.7,Black spots
MLR22,634,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,19.1,20.6,87,1.7,
MLR22,635,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,18.5,19.9,89.3,1.7,
MLR22,636,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,20.5,22,108.6,1.7,
MLR22,637,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,23,24.6,158.3,1.7,
MLR22,638,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,21.1,22.2,98.9,1.7,
MLR22,639,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,19.8,21.3,97.9,1.7,
MLR22,640,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,20.7,22.3,113.4,1.7,
MLR22,641,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,21.4,23.2,107.9,1.7,
MLR22,642,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,21.3,22.8,114.5,1.7,
MLR22,643,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,19.6,21.1,81.3,1.7,
MLR22,644,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/16,17.7,19.1,71,1.7,Black spots
MLR22,645,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,20.1,20.6,102.4,1.7,No scales
MLR22,646,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,20.4,21,100.2,1.7,No scales
MLR22,647,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,16.9,17.4,62,1.7,No scales
MLR22,648,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,18.1,18.7,78.9,1.7,No scales
MLR22,649,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,19.2,20,108.7,1.7,No scales
MLR22,650,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,20.1,21.3,100.2,1.7,No scales
MLR22,651,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,20.6,21.4,174.7,1.7,No scales and fish in stomach
MLR22,652,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,15,15.8,51.1,1.7,No scales and small fish in stomach?
MLR22,653,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,18.5,19,78.5,1.7,No scales
MLR22,654,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,19.2,19.6,100.2,1.7,No scales and fish in stomach
MLR22,655,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,17.4,17.9,68.7,1.7,No scales
MLR22,656,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/16,20.2,20.9,123.5,1.7,No scales
MLR22,657,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,18.3,19.6,76.3,1.7,
MLR22,658,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,19.5,20.6,83.4,1.7,
MLR22,659,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,11.1,11.9,17.3,1.7,
MLR22,660,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,19.4,20.7,88.4,1.7,
MLR22,661,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,19,20.1,86,1.7,Black spots
MLR22,662,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,19.7,21,89,1.7,
MLR22,663,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,20.2,21.4,93.6,1.7,
MLR22,664,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,22.6,24.4,127.7,1.7,
MLR22,665,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,21,22.9,123.5,1.7,Black spots
MLR22,666,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,24.5,26.3,168.5,1.7,
MLR22,667,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,12.3,13.4,24.1,1.7,
MLR22,668,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,13,14.4,28.4,1.7,
MLR22,669,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,11.7,12.6,21.2,1.7,
MLR22,670,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,12.9,14.4,25.9,1.7,
MLR22,671,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,12.1,14.4,29.5,1.7,
MLR22,672,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,14.6,16.4,42.2,1.7,
MLR22,673,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,16.5,18.2,53.2,1.7,
MLR22,674,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,15.4,17,56.6,1.7,
MLR22,675,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,18,20,88.4,1.7,
MLR22,676,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,19.5,21.4,98.8,1.7,
MLR22,677,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/17,22.3,24.4,143.2,1.7,
MLR22,678,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,13.1,14,26.5,1.7,
MLR22,679,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,21,22.5,112.3,1.7,
MLR22,680,Nashwaak,2022/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2022/08/17,29.4,31.5,307.3,5,
MLR22,681,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,16.3,16.7,57.6,1.7,No scales
MLR22,682,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,14.5,14.5,58.1,1.7,No scales and eroded caudal 
MLR22,683,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,18.6,19.4,93.6,1.7,No scales
MLR22,684,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,16,16.5,59.5,1.7,No scales
MLR22,685,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,17,17.3,71.4,1.7,No scales and eroded caudal 
MLR22,686,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,20.1,20.6,155.4,1.7,No scales and fish in stomach
MLR22,687,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,21.1,21.8,157.2,5,No scales and fish in stomach
MLR22,688,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,17,17.5,67,1.7,No scales and fish in stomach
MLR22,689,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,19.4,20.1,121.1,1.7,No scales
MLR22,690,Nashwaak,2022/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2022/08/17,17.6,18.2,91.1,1.7,No scales and fish in stomach
MLR22,691,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,15.2,17.2,49.3,1.7,
MLR22,692,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,10.9,12.4,19.4,1.7,
MLR22,693,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,12.5,14.1,27.3,1.7,
MLR22,694,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,12.4,13.5,24.7,1.7,
MLR22,695,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,12.2,13.4,23.6,1.7,Small liver sample
MLR22,696,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,12.1,13.3,22.9,1.7,Small liver sample
MLR22,697,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,13,14.4,29.7,1.7,
MLR22,698,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,15,16.4,42.5,1.7,Bug in stomach sample
MLR22,699,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,17,18.8,71.1,1.7,
MLR22,700,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,17.6,19.5,65.7,1.7,
MLR22,701,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,17.3,19.6,76.9,1.7,
MLR22,702,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,23.2,25.7,157.5,1.7,
MLR22,703,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,19.4,21.4,93.5,1.7,
MLR22,704,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,17.4,19.3,68.2,1.7,Insect in stomach sample
MLR22,705,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,18.2,20,79.9,1.7,Insect in stomach sample
MLR22,706,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,18.3,20.4,77.9,1.7,
MLR22,707,Nashwaak,2022/06/24,N/A,Semotilus corporalis,Fall Fish,F.F.,2022/08/18,20.7,23,124.2,1.7,
MLR22,708,Nashwaak,2022/06/24,N/A,Anguilla rostrata,Amercian Eel,A.E.,2022/08/18,61.7,61.7,444.5,50,Fish in stomach
MLR22,709,Nashwaak,2022/06/24,N/A,Anguilla rostrata,Amercian Eel,A.E.,2022/08/18,49.5,49.5,247.1,50,Two fish in stomach
MLR22,710,Nashwaak,2022/06/24,N/A,Anguilla rostrata,Amercian Eel,A.E.,2022/08/18,41.6,41.6,95.7,50,
MLR22,711,Nashwaak,2022/06/24,N/A,Anguilla rostrata,Amercian Eel,A.E.,2022/08/18,53.9,53.9,321.7,50,Two fish in stomach
MLR22,712,Nashwaak,2022/06/24,N/A,Anguilla rostrata,American Eel,A.E.,2022/08/18,67.2,67.2,803,50,Fish in stomach
MLR21,713,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,7.7,8.2,3.3,1.7,
MLR21,714,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,9.8,10.3,10.2,1.7,
MLR21,715,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,7.9,8.2,5.2,1.7,
MLR21,716,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,9.3,9.5,8.3,1.7,
MLR21,717,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,8.9,9.4,7.4,1.7,
MLR21,718,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,9.9,10.5,11.4,1.7,
MLR21,719,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,8.2,8.4,6.4,1.7,
MLR21,720,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,7.5,8,5.3,1.7,
MLR21,721,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,6.9,7.3,3.6,1.7,
MLR21,722,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,7.9,8.3,4.9,1.7,
MLR21,723,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,5.3,5.6,1.7,1.7,
MLR21,724,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,9.5,9.7,8.1,1.7,
MLR21,725,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,5.3,5.5,1.7,1.7,
MLR21,726,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,5.4,5.6,1.9,1.7,
MLR21,727,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,5.5,5.7,1.7,1.7,
MLR21,728,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,5.4,5.6,1.9,1.7,
MLR21,729,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2022/08/19,5,5.3,1.6,1.7,
