dateÉvénement,longitudeDécimal,latitudeDécimal,référenceGéodésique,typeObservation,sourceDonnées,station,étatProvince,nomVernaculaireEN,nomVernaculaireFR,nomScientifique,IDnomScientifique,IDnomScientifiqueBaseDonnées,étatOccurrence,étatDétailléOccurrence,quantitéOrganisme,typeQuantitéOrganisme,annéeDéploiement,moisDéploiement,jourDéploiement,annéeRécupération,moisRécupération,jourRécupération,nombreSemainesDéployées,IDstation,IDéchantillon
9/16/2019,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2019,5,23,2019,9,16,16.57,90,3964
9/16/2019,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2019,5,23,2019,9,16,16.57,90,3964
9/16/2019,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2019,5,23,2019,9,16,16.57,90,3964
9/16/2019,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Détection non quantitative à la station,n/a,% moyen de couverture des plaques de surveillance d'EAE,2019,5,23,2019,9,16,16.57,90,3964
9/16/2019,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,ribbed bryozoan,bryozoaire côtelé,Juxtacribrilina mutabilis,1059484,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2019,5,23,2019,9,16,16.57,90,3964
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,8.33%,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,22.17%,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,0.17%,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Détection non quantitative à la station,n/a,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/21/2021,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,ribbed bryozoan,bryozoaire côtelé,Juxtacribrilina mutabilis,1059484,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2021,7,7,2021,9,21,10.86,90,4217
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,0.33%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,2.17%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,97.00%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/13/2022,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,ribbed bryozoan,bryozoaire côtelé,Juxtacribrilina mutabilis,1059484,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2022,6,16,2022,9,13,12.71,90,4274
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,11.67%,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,76.50%,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
9/6/2023,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,ribbed bryozoan,bryozoaire côtelé,Juxtacribrilina mutabilis,1059484,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2023,5,31,2023,9,6,14,90,4356
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,6.00%,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,23.33%,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,44.08%,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Détection non quantitative à la station,n/a,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
8/30/2024,-61.75363,45.64518,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Bayfield,NS,ribbed bryozoan,bryozoaire côtelé,Juxtacribrilina mutabilis,1059484,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Détection non quantitative à la station,n/a,% moyen de couverture des plaques de surveillance d'EAE,2024,6,11,2024,8,30,11.43,90,4382
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,2.50%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/22/2022,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,ribbed bryozoan,bryozoaire côtelé,Juxtacribrilina mutabilis,1059484,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2022,6,14,2022,9,22,14.29,70,4303
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,10.58%,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
9/11/2023,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,ribbed bryozoan,bryozoaire côtelé,Juxtacribrilina mutabilis,1059484,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2023,6,12,2023,9,11,13,70,4354
8/27/2024,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absente,Plaque de surveillance quantitative,0.00%,% moyen de couverture des plaques de surveillance d'EAE,2024,6,10,2024,8,27,11.14,70,4381
8/27/2024,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,0.42%,% moyen de couverture des plaques de surveillance d'EAE,2024,6,10,2024,8,27,11.14,70,4381
8/27/2024,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absence non-concluante,Espèces non ciblées,n/a,% moyen de couverture des plaques de surveillance d'EAE,2024,6,10,2024,8,27,11.14,70,4381
8/27/2024,-65.83916667,47.90591667,WGS84  EPSG: 4326,Observation humaine,Ministère des Pêches et des Océans région du Golfe Secteur Science Espèces Aquatiques Envahissantes,Belledune,NB,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Présente,Plaque de surveillance quantitative,14.50%,% moyen de couverture des plaques de surveillance d'EAE,2024,6,10,2024,8,27,11.14,70,4381
