year,site_name,site_latitude,site_longitude,avg_air_temp_arrival,avg_max_air_temp,avg_water_temp_shore,3SST_abundance,3SST_avg_fork_length,3SST_avg_weight,9SST_abundance,9SST_avg_fork_length,9SST_avg_weight,ALEW_abundance,ALEW_avg_fork_length,ALEW_avg_weight,AMEL_abundance,AMEL_avg_total_length,AMEL_avg_weight,AMSH_abundance,AMSH_avg_fork_length,AMSH_avg_weight,ATSA(sm)_abundance,ATSA(sm)_avg_fork_length,ATSA(sm)_avg_weight,ATSA(sal)_abundance,ATSA(sal)_avg_fork_length,ATSA(sal)_avg_weight,ATSA(pa)_abundance,ATSA(pa)_avg_fork_length,ATSA(pa)_avg_weight,BAKI_abundance,BAKI_avg_fork_length,BAKI_avg_weight,BLDA_abundance,BLDA_avg_fork_length,BLDA_avg_weight,BRKTR(pa)_abundance,BRKTR(pa)_avg_fork_length,BRKTR(pa)_avg_weight,BRKTR(res)_abundance,BRKTR(res)_avg_fork_length,BRKTR(res)_avg_weight,BRKTR(sr)_abundance,BRKTR(sr)_avg_fork_length,BRKTR(sr)_avg_weight,BRBU_abundance,BRBU_avg_fork_length,BRBU_avg_weight,COSH_abundance,COSH_avg_fork_length,COSH_avg_weight,CRAY_abundance,CRAY_avg_fork_length,CRAY_avg_weight,CRCH_abundance,CRCH_avg_fork_length,CRCH_avg_weight,FIDA_abundance,FIDA_avg_fork_length,FIDA_avg_weight,GASP_abundance,GASP_avg_fork_length,GASP_avg_weight,GOSH_abundance,GOSH_avg_fork_length,GOSH_avg_weight,LACH_abundance,LACH_avg_fork_length,LACH_avg_weight,LAMP_abundance,LAMP_avg_fork_length,LAMP_avg_weight,LOSU_abundance,LOSU_avg_fork_length,LOSU_avg_weight,MUMM_abundance,MUMM_avg_fork_length,MUMM_avg_weight,NRDA_abundance,NRDA_avg_fork_length,NRDA_avg_weight,RASM_abundance,RASM_avg_fork_length,RASM_avg_weight,RATR(res)_abundance,RATR(res)_avg_fork_length,RATR(res)_avg_weight,RATR(pa)_abundance,RATR(pa)_avg_fork_length,RATR(pa)_avg_weight,ROWH_abundance,ROWH_avg_fork_length,ROWH_avg_weight,SALA_abundance,SALA_avg_fork_length,SALA_avg_weight,SELA_abundance,SELA_avg_fork_length,SELA_avg_weight,SELA(am)_abundance,SELA(am)_avg_fork_length,SELA(am)_avg_weight,SELA(si)_abundance,SELA(si)_avg_fork_length,SELA(si)_avg_weight,SLSC_abundance,SLSC_avg_fork_length,SLSC_avg_weight,STIC_abundance,STIC_avg_fork_length,STIC_avg_weight,SUCK_abundance,SUCK_avg_fork_length,SUCK_avg_weight,WHSU_abundance,WHSU_avg_fork_length,WHSU_avg_weight,YEPE_abundance,YEPE_avg_fork_length,YEPE_avg_weight
2014,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Moses-RST (Restigouche River),47.9971,-66.8159,13.712,23.118,11.624,79,,,1,,,,,,19,386.842,,,,,617,124.605,15.400,,,,86,67.012,,,,,2,,,,,,1,115.000,,,,,,,,,,,,,,,,,57,,,,,,1,,,,,,,,,,,,1,,,,,,52,135.500,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,45,,,,,
2014,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,15.286,,11.686,,,,,,,,,,8,363.750,,,,,54,127.115,,,,,55,66.709,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
2015,Butters-RST (Restigouche River),47.9867,-66.8023,11.403,18.333,11.300,544,,,2,,,,,,157,293.363,,,,,849,124.787,17.220,,,,109,60.917,,1,,,13,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,3,,,,,,,,,,,,,,,861,136.099,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,76,,,,,
2015,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,13.186,,8.325,4,,,,,,,,,20,469.700,,,,,4609,129.714,20.141,,,,2202,62.967,,,,,42,,,7,140.286,,,,,,,,,,,,,,,,,,,,19,,,4,253.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,3,,,8,434.000,,,,,,,,16,420.000,,,,
2015,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Moses-RST (Restigouche River),47.9971,-66.8159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,17.978,,11.673,,,,,,,,,,31,359.968,,,,,1264,124.855,19.260,,,,169,63.923,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,403.000,,,,
2016,Butters-RST (Restigouche River),47.9867,-66.8023,12.743,17.771,11.914,288,,,11,,,,,,31,270.774,,,,,699,127.647,17.555,,,,73,66.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,1,,,,,,,,,,,,,,,837,138.786,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,17,,,,,
2016,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,17.900,,9.744,5,,,,,,,,,12,550.917,,,,,1692,126.372,18.912,,,,656,67.288,,,,,10,,,6,79.000,,,,,,,,,,,,,,1,,,,,,7,,,2,276.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,4,,,,,,,,,5,,,,,
2016,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Moses-RST (Restigouche River),47.9971,-66.8159,13.774,20.542,10.989,144,,,7,,,,,,26,338.115,,,,,433,123.122,17.373,,,,84,69.202,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,6,,,,,,,,,,,,,,,105,152.500,,,,,,,,,,,,,,1,,,8,,,,,,,,,,,,,,,48,,,,,
2016,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Butters-RST (Restigouche River),47.9867,-66.8023,12.047,17.647,12.588,16,,,,,,,,,95,319.421,,,,,630,126.458,,,,,46,65.283,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,2075,135.739,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,29,,,,,
2017,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,15.294,,10.047,4,,,,,,,,,15,426.333,,,,,1131,127.988,20.900,,,,1099,63.544,,,,,23,,,13,93.538,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,3,,,,,,,,,7,,,,,
2017,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Moses-RST (Restigouche River),47.9971,-66.8159,12.412,17.647,12.118,17,,,,,,,,,20,372.750,,,,,352,128.150,,,,,35,65.714,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,38,,,,,
2017,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Butters-RST (Restigouche River),47.9867,-66.8023,10.671,17.786,10.400,163,,,,,,,,,38,385.162,,1,230.000,,363,122.750,16.300,,,,60,65.833,,1,,,6,,,,,,1,95.000,,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,2078,140.710,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,177,,,,,
2018,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,13.604,,8.221,,,,,,,,,,15,418.143,,,,,824,127.152,19.628,,,,732,66.305,,,,,19,,,3,140.000,,,,,,,,,,,,,,,,,2,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,13,,,,,
2018,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Moses-RST (Restigouche River),47.9971,-66.8159,11.011,17.658,9.563,42,,,,,,,,,12,348.833,,,,,126,124.706,16.640,,,,25,70.800,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,20,160.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,
2018,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,12.825,,9.340,1,,,,,,,,,39,316.103,,,,,1842,126.920,18.558,,,,640,66.024,16.932,,,,14,,,1,135.000,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,1,,,,,,,,,9,445.000,,,,
2019,Butters-RST (Restigouche River),47.9867,-66.8023,9.988,16.462,10.412,209,,,,,,,,,105,345.200,,,,,983,123.502,,,,,67,66.239,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,184,148.067,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,72,,,,,
2019,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,10.235,,6.685,1,,,,,,,,,18,463.778,,,,,826,126.360,18.986,,,,354,62.949,,,,,32,,,,,,,,,1,275.000,,,,,,,,,,,,,,4,,,2,267.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,2,,,,,
2019,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Moses-RST (Restigouche River),47.9971,-66.8159,10.625,16.313,9.471,62,,,,,,,,,32,433.125,,,,,1059,126.070,,,,,38,72.727,,,,,,,,2,68.000,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,240,143.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,
2019,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,10.433,,7.983,1,57.000,,,,,,,,65,351.462,,,,,2096,123.030,15.333,,,,565,69.438,,2,,,9,58.111,,,,,,,,,,,,,,,,,,,,,,,4,57.333,,,,,,,,4,65.750,,,,,,,,,,,,,,,,,,,,2,71.500,,,,,,,,102,,,,,,,,,,,,,,,,,,4,76.333,,,,
